1,,,"Außendienst",,,"Rechnungsprüfung, Änderung","Bonität",,,,,"x Seite 8"
2,,"Postwurf, Inserate",,"Infos für Angebotsentwicklung","bei jedem Folgekauf, nach jedem dir. Mailing","falsche werden korrigiert",,,,,,
3,,,,,,,,,,,,
4,,,,,,,,,,,,
5,,,,,"Aktualität überprüfen, per Internet","werden gestrichen",,,,,,
6,,,,,,,,,,,,
7,,,,,,"Datenpflege",,,,,,
8,,,,,,,,,,,,
9,,,,,"automat. Adressenabgleich, selektive Marketingmaßnahmen","nicht mehr reaktivierbare  Kunden werden ausgelistet",,,,,,"Punkt 16: Versand!"
10,,,,,,,,,,,,
11,,,,,"Herold-Telefonbuch","Löschung","Fax",,,,,
12,,,,,,,,"Potenzialdaten z.B. ""angebaute Fläche, ""Anzahl Kinder"" etc.",,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,"Checks über laufende Mailings",,,,,,,
16,,,,,,,,,,,,
17,,,,,"Überprüfung auf Aktualität","werden gelöscht",,,,,,
18,,,,,"Check und Wartung der Kundendaten","Status setzen",,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,"Kundenpass",,,,,,,,,
22,,,,,,,,,,"manuell",,
23,,,,,,,,,,,,
24,,"Postwurf",,,,,,,,,,
25,"ad. Möbel-u. Einrichtungsgegenstände: Sanitäre Einrichtung/ Bad und Wellness","Hausmessen",,,"Lfd. Kontrollen bei Verrechnung von Leistungen bzw. jährliche Abstimmung durch Ferialpraktikanten","wenn möglich, werden Daten aktualisiert; nicht überprüfbare werden nach erfolglosem  Mailing verworfen.",,,,,,
26,,,,,"Kontrolle auf Vollständigkeit und Richtigkeit","mit Vorsicht -> unter Vorbehalt","Bonität",,,,,
27,,,,,"Mitarbeiter im Bereich Forschung und Datenbetreuung","w.o.","Firmenadresse",,,,,
28,,,,,"regelmäßige Updates, DEL. daten","sind im Fachhandelsbereich tätig, d.h. wenige  Kunden, die wir aber gut kennen -> schlechte Daten kommen eigentlich nie vor.",,"Firmenname,  Firmenadresse",,,,
29,,,,,,,,,,,,
30,,,,,"Kontrolle sämtlicher erfasster Kundendaten durch Sachbearbeiterin, Überarbeitung","Versuch dies richtigzustellen, wenn dies nicht möglich ist -> löschen",,,,,,
31,,,,,"bei Anmeldung Nachfrage ob gespeicherte Daten noch stimmen","laufende Kontrolle",,,"Kundenbefragung durch Dritte durch weitergegebene Informationen",,,
32,,,,,,"werden entfernt",,,,,,
33,,,,,,,,,,,,
34,,,,,,,,,,,,
35,,,,,,,,,,,,
36,,"Flugblätter",,,"Dubletter Prüfung; Klassifizierung der Kundendaten","Sie werden deaktiviert.",,,,,,
37,,,,,,"werden geändert",,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,"-Erfassungen unzustellbarer Postsendungen -Aktualisierung der pers. Daten im Verkaufsgespräch F1+ andere Kundeninformation","-> keine Mailings -> Überprüfung und Korrektur, wo möglich!",,,,,,
41,,,,,"-Kontrolle via Herold-CD (Tel.nr., Namensschreibweise) -Kontrolle durch Servicetechniker vor Ort -Kontrolle über Zahlung (Telebanking-Beleg)","- Sperre der Kundennummern - Kontrolle durch Kontakt mit Hausverwaltung - Anruf des Kunden - Kontrolle durch Mitarbeiter vor Ort",,,,,,
42,,,,,,,,,,,,"Seite 1: CRM gibt es auch ohne WEB-Shop  -> Fragen für ""klassische Kunden"" oft nicht sinnvoll zu beantworten!"
43,,,,,"Quercheck mit Umzugsadressen, Gebäudereg.,  Sterbedaten","Aufträge werden kritischer betrachtet",,,,,,
44,,,,,,,,,,,,
45,,,,,"laufende Adresskontrolle","wenn nicht korrigierbar verwenden wir sie nicht",,,,,,
46,,,,,"Queries im Datawarehouse, Aktualisierungen von  Kundendaten","bei der Neukundenanlage erfolgt eine genaue  Verifizierung der Kundendaten durch  WKO Datenbank, Gewerbeschein, Herold, ... ",,"Branchenzugehörigkeit, Anzahl produktiver Mitarbeiter, Kundenpotenzialdaten",,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,"Stichprobenüberprüfungen (manuell)","werden inaktiv gesetzt",,,,,,
51,,,,,,,,,,,,
52,,,,,"Umsätze angeschaut -> Kunden mit seit 5 Jahren keinen Umsatz von Kundendatei entfernt -> hauptsächlich bei Privatkunden // Zahlungsmoral anschauen ","Kundendaten über KSV, Internet oder elektron. Telefonbuch anschauen",,,,,,
53,,,,,"nein, noch nicht",,,,,,,
54,,,,,"alle Retouren werden bearbeitet","Es wird versucht, via Herold die korrekten Daten zu ermitteln.",,,,,,
55,,,,,"laufend persönlich","kaum der Fall",,"Art der Anlage",,,,
56,,,,,"Stichproben durch Kundenbefragungen","ausscheiden",,,,,,
57,,,,,"Aktualisierung der eigenen Kundendatei jährlich bzw. vor jedem Mailing.",,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,"ad. Bau- und Gartenbau;  Sanitär, Stahl, Tischlerbedarf -> Großhandel",,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,"regelmäßige Kontrolle und jährliche Aktualisierung","werden nicht verwendet",,"techn. Daten zum Heizgerät",,,,
63,,,,,"ISO 9001","Verbesserung der organisatorischen Abläufe, regelmäßdige updates",,,,,,
64,,,,,"laufende Überprüfung durch pers. Kontakt und Bereinigen im System","Die Daten werden mit den Kunden bereinigt.",,,,,,
65,,"Flugblätter, Kataloge",,,,,,,,,,
66,,,,,"jährliche Überprüfung der wichtigsten Datenfelder","Sind als sogenannte ""Leichen"" im Stamm.",,,,,,
67,,,,,"- Regelmäßige Überprüfung der Aktualität - Rückfrage, wenn sich Kunden eine bestimmte Zeit nicht melden   d.h. kaufen","- falsche Kundendaten -> Richtigstellung - nicht überprüfbare Kundendaten -> nicht    verwerten",,,,,,
68,,,,,"jährliche Aktualisierung durch Außendienst",,,,,,,
69,,,"Eingabe Mitarbeiter, Import von ERP-System",,,,,,,,,
70,,,,,,,,,,,,
71,,"Katalog Streuung",,,"Prüfung der Stammdaten und Umsatzzahlen","werden ausgesendet und nachbearbeitet",,,,,,
72,,,,,,,,,,,,
73,,,,,,,,,,,,
74,,,,,"jährliche Kontakte mit Kunden, daher immer aktuelle Daten","gelöscht",,,,,,
75,,,,,,,,,,,,
76,,,,,"laufende Kontrolle bei jedem Kundenkontakt","korrigieren",,,,,,
77,,,,,,,,,,,,
78,,"Flyer",,,,,,,,,,
79,,"SMS",,,"Dublettenabgleich mittels Tool. Tägliche Prüfung der übertragenen Files durch das Operating.","werden gesperrt -> nicht gelöscht",,,,,,
80,,,,,,,,"gesellschaftspolitische Stellung",,,,
81,,,,,,,,,,,,
82,,,"SAP",,,,,,,,,
83,,,,,"pers. Kundenbefragung durch Mitarbeiter","- Analyse warum schlecht - Erledigung zur Kundenzufriedenheit",,,,,,
84,,,,,,,,,,,,
85,,,,,"Nachsehen Telefon - auch Kontrolle auf Fehler","aussortieren",,,,,,
86,,,,,"regelmäßiger Datencheck","Falsche: korrigieren oder ausscheiden; Nicht überprüfbare: bleiben in der Datei",,,,,,
87,"Baugewerbe",,,,,,,,,,,
88,,,,,,,,,,,,
89,,"Prospekte",,,"Upgrade","löschen",,,,,,
90,,"Seminare",,,"Adressprüfungen","verbessern, sperren",,,,,,
91,,,,,,,,,,,,
92,"persönliche Dienstleistungen",,,,"regelmäßige Pflege Datenbank","werden entfernt",,,,,,
93,"Holzindustrie",,,,,,,,,,,
94,,,,,,,,,,,,
95,,,,,,,,,,,,
96,,,,,,,"Nicht über Internet Telefon, Fax",,,,,
97,,"Kataloge und Folder, Messen, Veranstaltungen (von uns organisiert)",,,"Adresscheck durch postalisches Ausschreiben aller Kunden einer Kundengruppe (Lehrer)","werden, sofern die Fehlerhaftigkeit erwiesen ist, entfernt","bei Lehrern: Fächer, Schule","Fächer, Schule (bei Lehrern)",,,,
98,,"Inserate",,,,,,,,,,
99,,,,,,,,,,,,
100,,,,,,,,,,,,
101,,,,,,,,,,,,
102,,,,,,"aktualisieren",,,,,,
103,,,,,,,,,,,,
104,,,,,,,,,,,"Sind Einzelhandel in einem Saisonort, daher wenig Stammkunden!",
105,,,,,,,,,,,,
106,,,,,"Adressabgleich, Telefonaktion",,,,,,,
107,,,,,,,,,,,,
108,,,,,,,,,,,,
109,,,,,,,,,,,,
110,,,,,"Response-Auswertungen von Direct Mail-Aktionen bzw. e-mail-Newsletter Versand","persönliche Einschätzungen durch Kundenbetreuer anstelle von nicht erhaltenen/ überprüfbaren Daten",,,,,,
111,,,,,,,,,,,,"ad. Punkt 22: Nein. Wir beliefern NUR den Handel !!!"
